num__lights,num__T1,num__RH_1,num__T2,num__RH_2,num__T3,num__RH_3,num__T4,num__RH_4,num__T5,num__RH_5,num__T6,num__RH_6,num__T7,num__RH_7,num__T8,num__RH_8,num__T9,num__RH_9,num__T_out,num__Press_mm_hg,num__RH_out,num__Windspeed,num__Visibility,num__Tdewpoint,num__rv1,num__rv2,num__hour,num__day,num__month,num__weekday
-0.47823364,0.68565613,-0.19027245,0.068876594,0.10345002,1.161595,-0.41152072,0.92304486,-0.35765573,0.3167888,-0.91641885,0.14599314,-0.48163772,1.5325502,0.18943788,1.0085198,-0.5057579,1.593503,-0.23066811,0.35324752,0.5769951,0.58558595,-0.8347432,0.61336774,0.87875324,-1.0094157,-1.0094157,-1.2195477,0.105383195,1.4151669,-1.008875
-0.47823364,0.25553665,-0.7008697,-0.8897611,0.49254,0.5077578,-0.53489894,-0.27405548,0.15304539,-0.054082673,-0.4525853,-1.0985612,0.43677863,0.24910156,0.3649892,0.26944733,0.014516296,0.14912519,0.1253862,-0.7948254,0.34477803,0.5518808,-0.8347432,-1.2051464,-0.57262504,-1.6433872,-1.6433872,-1.0754308,1.1678791,-0.07879211,1.0041997
0.77904093,-0.43016112,-0.41323325,-0.7352887,-0.16775888,-0.6535103,0.21565177,0.002260946,-0.264801,-0.48676604,-0.53265184,-1.6101696,0.9162761,-0.59863764,-0.6148778,-0.32692733,-0.08143885,-0.7393409,-0.32992005,-1.6982269,1.9156579,1.0237535,-1.2444345,-1.2897285,-1.4602449,1.5292572,1.5292572,-1.3636646,-0.012671906,-0.8257716,-1.008875
-0.47823364,0.3178728,0.52201074,0.52320725,0.16857314,0.41292644,1.057708,-0.059503905,0.96552444,0.46694022,-0.43491545,-0.24791253,0.7204162,-0.5512779,0.45335397,-0.07109454,1.2255363,-0.24299113,0.93883455,-0.21137848,-1.4992982,0.2822392,2.0330958,0.14816642,-0.020861406,-0.35916957,-0.35916957,-1.2195477,-0.83905756,-0.8257716,-1.008875
0.77904093,1.0596731,-1.2727386,1.4318686,-1.715522,0.96195,-1.3060126,1.4813666,-1.3488802,1.9110209,-1.5017326,1.2937905,-1.720876,1.6698935,-1.4860889,1.7760181,-1.5281308,1.7034091,-1.773616,0.93355757,0.85702145,-2.0097144,0.39433068,0.14816642,-0.36471412,0.06362735,0.06362735,0.22162198,-0.13072701,1.4151669,1.5074685
2.0363154,0.19320048,0.53137165,0.11430965,0.7645733,0.46283767,-0.010541592,0.55977,0.3155412,0.5949424,-0.5744336,0.8836284,-0.52369946,0.39591673,0.39444414,0.34335458,0.13428868,0.5015335,-0.1869844,0.5132249,-0.46798152,0.75411195,-0.8347432,-1.0782734,1.1786249,0.93191206,0.93191206,0.5098559,-0.3668372,0.6681874,-0.50560635
-0.47823364,0.17034389,-1.2284869,-0.5671863,-0.7439748,-0.03627468,-1.0715941,-0.07413242,-1.1701348,0.15685047,-0.08483157,-0.5597545,-1.1849904,-0.39656943,-1.1915396,0.5480208,-0.12562731,0.05481873,-0.65192676,-0.36194542,1.4239042,-0.45927516,-1.2444345,0.14816642,-0.668584,0.9551314,0.9551314,-1.5077816,-1.6654433,1.4151669,-1.5121437
-0.47823364,1.2529151,0.73561054,0.85876286,0.6373889,1.0068702,0.20537025,1.3399576,0.39214638,0.81128407,-0.038132686,0.44634622,-0.33915383,1.3273247,1.1137987,1.4751588,0.10837942,1.3899996,-0.31374514,0.7171176,-0.9711184,0.75411195,0.12120315,-0.52849,1.4345152,0.6095206,0.6095206,1.3745577,0.2234383,1.4151669,-0.50560635
2.0363154,0.6295536,1.3415194,0.7003962,1.0613368,0.5077578,1.9018204,0.31596136,2.3328106,0.32451528,1.1056132,0.3861662,1.4546233,-0.68756866,2.0599563,-0.6168712,2.5477748,-0.79393935,2.2300735,0.53831935,0.5496754,1.0237535,1.3502771,0.6556588,1.3665444,-1.685036,-1.685036,-1.6518986,-1.6654433,-0.8257716,-1.008875
2.0363154,-0.18705009,-0.50599176,-0.4808635,-0.24936886,-0.24091074,-0.6613616,-0.95671964,-0.78826964,-0.8112786,-0.5751699,-0.8982672,0.6934587,-0.6507333,-0.8426625,-0.24140608,-0.81727284,-0.5379647,-1.0085776,-0.93284506,-2.1390333,0.8327574,-1.1761526,-1.3743106,-0.60061306,-1.0621072,-1.0621072,1.2304407,-1.4293331,-0.07879211,0.5009311
